Title,Release,Geek_Rating,Num_Voters,Community_Players,Best_Players,Playing _Time,Link
Mice and Mystics,2012,6.988,19600,1~4,4,60~90,https://boardgamegeek.com/boardgame/124708/mice-and-mystics
Flash Point: Fire Rescue,2011,6.988,24289,1~6,4,45,https://boardgamegeek.com/boardgame/100901/flash-point-fire-rescue
Dune,1979,6.988,5886,4~6,6,60~180,https://boardgamegeek.com/boardgame/121/dune
Claustrophobia,2009,6.987,7060,2,2,45,https://boardgamegeek.com/boardgame/36932/claustrophobia
Advanced Squad Leader,1985,6.987,3851,1~2,2,120~480,https://boardgamegeek.com/boardgame/243/advanced-squad-leader
Kingsburg,2007,6.984,19702,2~5,4,90,https://boardgamegeek.com/boardgame/27162/kingsburg
The Manhattan Project,2012,6.984,9923,2~5,4,120,https://boardgamegeek.com/boardgame/63628/the-manhattan-project
Pan Am,2020,6.982,6165,2~4,3~4,60,https://boardgamegeek.com/boardgame/303057/pan-am
The Great Wall,2021,6.981,4189,1~4,3,120~180,https://boardgamegeek.com/boardgame/292375/the-great-wall
Mandala,2019,6.980,6118,2,2,20,https://boardgamegeek.com/boardgame/264241/mandala
Imperial Struggle,2020,6.979,2725,2,2,120~240,https://boardgamegeek.com/boardgame/206480/imperial-struggle
The Lord of the Rings: The Card Game – Revised Core Set,2022,6.978,2449,1~3,1~2,30~90,https://boardgamegeek.com/boardgame/349067/the-lord-of-the-rings-the-card-game-revised-core-s
Commands & Colors: Napoleonics,2010,6.976,3240,2,2,90,https://boardgamegeek.com/boardgame/62222/commands-and-colors-napoleonics
PitchCar,1995,6.976,11037,2~8,5~6,30,https://boardgamegeek.com/boardgame/150/pitchcar
Lord of the Rings: The Confrontation,2005,6.974,6421,2,2,30,https://boardgamegeek.com/boardgame/18833/lord-of-the-rings-the-confrontation
Black Orchestra,2016,6.974,6496,1~5,3,90,https://boardgamegeek.com/boardgame/156858/black-orchestra
Marrakesh,2022,6.973,2669,2~4,3,120,https://boardgamegeek.com/boardgame/342810/marrakesh
Heroscape Master Set: Rise of the Valkyrie,2004,6.973,8282,2~4,2,90,https://boardgamegeek.com/boardgame/11170/heroscape-master-set-rise-of-the-valkyrie
Reign of Cthulhu,2016,6.972,10317,1~4,4,40,https://boardgamegeek.com/boardgame/192153/reign-of-cthulhu
Pipeline,2019,6.971,5081,2~4,3,60~120,https://boardgamegeek.com/boardgame/256730/pipeline
Middara: Unintentional Malum – Act 1,2019,6.970,2510,1~4,4,60,https://boardgamegeek.com/boardgame/169427/middara-unintentional-malum-act-1
Glen More,2010,6.969,9296,2~5,4,60,https://boardgamegeek.com/boardgame/66362/glen-more
A Few Acres of Snow,2011,6.968,7986,2,2,60~90,https://boardgamegeek.com/boardgame/79828/a-few-acres-of-snow
Lancaster,2011,6.968,7513,3~5,4,60,https://boardgamegeek.com/boardgame/96913/lancaster
